Inventory,Impact Category,score,quantity,percentage,name,reference product
"Lithium hydroxide, brine",Climate change,2.5462418528319524,43.12570633896887,33.19381564306911,"heat production, natural gas, at industrial furnace >100kW","heat, district or industrial, natural gas"
"Lithium hydroxide, brine",Climate change,1.276628053657156,1.1749313758947098,16.642628119058937,"quicklime production, in pieces, loose","quicklime, in pieces, loose"
"Lithium hydroxide, brine",Climate change,0.6931245454963114,0.7086947109819315,9.035845654371577,"electricity production, hard coal","electricity, high voltage"
"Lithium hydroxide, brine",Climate change,0.46101642006674554,0.02642382350806498,6.009992349746057,natural gas venting from petroleum/natural gas production,"natural gas, vented"
"Lithium hydroxide, brine",Climate change,0.44946041663784,3.898651598068302,5.859343719505714,"heat production, at hard coal industrial furnace 1-10MW","heat, district or industrial, other than natural gas"
"Lithium hydroxide, brine",Climate change,0.2551862347976861,3.434826884776878,3.326708664026655,"diesel, burned in building machine","diesel, burned in building machine"
"Lithium hydroxide, brine",Climate change,0.1604014567057497,2.3874067633875202,2.0910568164797914,"sweet gas, burned in gas turbine","sweet gas, burned in gas turbine"
"Lithium hydroxide, brine",Climate change,0.09412598762935985,0.2400390267567069,1.2270635945740147,"electricity production, natural gas, combined cycle power plant","electricity, high voltage"
"Lithium hydroxide, brine",Climate change,0.09309142142911764,0.14775680165101243,1.2135765804935588,"electricity production, natural gas, conventional power plant","electricity, high voltage"
"Lithium hydroxide, brine",Climate change,0.08479620071872605,0.20933534918508998,1.105436803169162,hard coal mine operation and hard coal preparation,hard coal
"Lithium hydroxide, brine",Ecosystem quality,0.1297893924582485,0.01020837475023608,15.692713695791326,"treatment of drilling waste, landfarming",drilling waste
"Lithium hydroxide, brine",Ecosystem quality,0.08622048952538995,0.7086947109819315,10.42483851111463,"electricity production, hard coal","electricity, high voltage"
"Lithium hydroxide, brine",Ecosystem quality,0.055537396764199554,3.898651598068302,6.7149745470186355,"heat production, at hard coal industrial furnace 1-10MW","heat, district or industrial, other than natural gas"
"Lithium hydroxide, brine",Ecosystem quality,0.049666314351495364,0.20933534918508998,6.005107479749633,hard coal mine operation and hard coal preparation,hard coal
"Lithium hydroxide, brine",Ecosystem quality,0.048558530812927055,43.12570633896887,5.8711664112354605,"heat production, natural gas, at industrial furnace >100kW","heat, district or industrial, natural gas"
"Lithium hydroxide, brine",Ecosystem quality,0.0376218241027543,1.9104906798110102,4.548819461866768,"soda production, solvay process","soda ash, light"
"Lithium hydroxide, brine",Ecosystem quality,0.03254724497619362,3.434826884776878,3.935256859781449,"diesel, burned in building machine","diesel, burned in building machine"
"Lithium hydroxide, brine",Ecosystem quality,0.030727867247979285,1.1749313758947098,3.715277605293828,"quicklime production, in pieces, loose","quicklime, in pieces, loose"
"Lithium hydroxide, brine",Ecosystem quality,0.02348883451102939,1.679527565049797e-09,2.840012947498631,onshore petroleum field infrastructure construction,onshore petroleum field infrastructure
"Lithium hydroxide, brine",Ecosystem quality,0.013571388473953318,5.530862447251291e-08,1.640903850017034,"pipeline construction, natural gas, high pressure distribution network","pipeline, natural gas, high pressure distribution network"
"Lithium hydroxide, brine",Human health,2.489624470185803e-06,0.7086947109819315,43.023037560705816,"electricity production, hard coal","electricity, high voltage"
